Kategori,Hiragana,Kanji,Arti,Bab
Kata Benda,わたし,私,Saya,Bab 1
Kata Benda,あなた,あなた,Kamu / Anda,Bab 1
Kata Benda,あのひと,あの人,Dia (Orang Itu),Bab 1
Kata Benda,あのかた,あの方,Beliau (Lebih Sopan dari 'Dia'),Bab 1
Kata Benda,〜さん,〜さん,Bpk / Ibu / Sdr (Menyebut Nama Orang Lain),Bab 1
Kata Benda,〜ちゃん,〜ちゃん,Adik (Menyebut Nama Anak Kecil),Bab 1
Kata Benda,〜じん,〜人,Orang (Menyebut Asal Negara / Suku),Bab 1
Kata Benda,せんせい,先生,Guru / Dosen / Dokter (Memanggil Ahli),Bab 1
Kata Benda,きょうし,教師,Guru / Dosen (Profesi),Bab 1
Kata Benda,がくせい,学生,Pelajar / Mahasiswa,Bab 1
Kata Benda,かいしゃいん,会社員,Karyawan Perusahaan,Bab 1
Kata Benda,しゃいん,社員,Karyawan,Bab 1
Kata Benda,ぎんこういん,銀行員,Pegawai Bank,Bab 1
Kata Benda,いしゃ,医者,Dokter,Bab 1
Kata Benda,けんきゅうしゃ,研究者,Peneliti,Bab 1
Kata Benda,だいがく,大学,Universitas / Perguruan Tinggi,Bab 1
Kata Benda,びょういん,病院,Rumah Sakit,Bab 1
Kata Benda,だれ / どなた,誰 / どなた,Siapa (どなた Lebih Sopan),Bab 1
Kata Benda,〜さい,〜歳,Umur ... Tahun,Bab 1
Kata Benda,なんさい / おいくつ,何歳 / おいくつ,Umurnya Berapa (おいくつ Lebih Sopan),Bab 1
Kata Benda,はい,はい,Iya,Bab 1
Kata Benda,いいえ,いいえ,Bukan,Bab 1
Kata Benda,アメリカ,アメリカ,Amerika Serikat,Bab 1
Kata Benda,イギリス,イギリス,Inggris,Bab 1
Kata Benda,インド,インド,India,Bab 1
Kata Benda,インドネシア,インドネシア,Indonesia,Bab 1
Kata Benda,かんこく,韓国,Korea Selatan,Bab 1
Kata Benda,タイ,タイ,Thailand,Bab 1
Kata Benda,ちゅうごく,中国,China,Bab 1
Kata Benda,ドイツ,ドイツ,Jerman,Bab 1
Kata Benda,にほん,日本,Jepang,Bab 1
Kata Benda,ブラジル,ブラジル,Brazil,Bab 1
Ungkapan,はじめまして,初めまして,Salam Kenal,Bab 1
Ungkapan,〜からきました,〜から来ました,Saya berasal dari ...,Bab 1
Ungkapan,どうぞよろしくおねがいします,どうぞよろしくお願いします,Mohon bantuannya,Bab 1
Ungkapan,しつれいですが,失礼ですが,Permisi / Maaf mengganggu,Bab 1
Ungkapan,こちらは〜さんです,こちらは〜さんです,Ini adalah Bpk/Ibu/Sdr ...,Bab 1
Kata Benda,これ,これ,Ini (dekat pembicara),Bab 2
Kata Benda,それ,それ,Itu (dekat lawan bicara),Bab 2
Kata Benda,あれ,あれ,Itu (jauh dari keduanya),Bab 2
Kata Benda,この〜,この〜,~ Ini (benda dekat pembicara),Bab 2
Kata Benda,その〜,その〜,~ Itu (benda dekat lawan bicara),Bab 2
Kata Benda,あの〜,あの〜,~ Itu (benda jauh dari keduanya),Bab 2
Kata Benda,ほん,本,Buku,Bab 2
Kata Benda,じしょ,辞書,Kamus,Bab 2
Kata Benda,ざっし,雑誌,Majalah,Bab 2
Kata Benda,しんぶん,新聞,Koran,Bab 2
Kata Benda,ノート,ノート,Buku Catatan,Bab 2
Kata Benda,てちょう,手帳,Buku Agenda,Bab 2
Kata Benda,めいし,名刺,Kartu Nama,Bab 2
Kata Benda,カード,カード,Kartu,Bab 2
Kata Benda,えんぴつ,鉛筆,Pensil,Bab 2
Kata Benda,ボールペン,ボールペン,Ballpoint / Pulpen,Bab 2
Kata Benda,シャープペンシル,シャープペンシル,Pensil Mekanik,Bab 2
Kata Benda,かぎ,鍵,Kunci,Bab 2
Kata Benda,とけい,時計,Jam / Arloji,Bab 2
Kata Benda,かさ,傘,Payung,Bab 2
Kata Benda,かばん,鞄,Tas,Bab 2
Kata Benda,テレビ,テレビ,Televisi (TV),Bab 2
Kata Benda,ラジオ,ラジオ,Radio,Bab 2
Kata Benda,カメラ,カメラ,Kamera,Bab 2
Kata Benda,コンピューター,コンピューター,Komputer / PC,Bab 2
Kata Benda,くるま,車,Mobil,Bab 2
Kata Benda,つくえ,机,Meja,Bab 2
Kata Benda,いす,椅子,Kursi,Bab 2
Kata Benda,チョコレート,チョコレート,Cokelat,Bab 2
Kata Benda,コーヒー,コーヒー,Kopi,Bab 2
Kata Benda,おみやげ,お土産,Oleh-oleh,Bab 2
Kata Benda,えいご,英語,Bahasa Inggris,Bab 2
Kata Benda,にほんご,日本語,Bahasa Jepang,Bab 2
Kata Benda,〜ご,〜語,Bahasa ...,Bab 2
Kata Benda,なん,何,Apa,Bab 2
Kata Benda,そう,そう,Begitu,Bab 2
Kata Benda,あのう,あのう,Emm.. (ragu mau bicara),Bab 2
Kata Benda,どうぞ,どうぞ,Silahkan,Bab 2
Ungkapan,そうだすか,そうですか,"Ouwh, begitu ya",Bab 2
Ungkapan,ちがいます,違います,Bukan / Salah,Bab 2
Ungkapan,これからおせわになります,これからお世話になります,"Mulai sekarang, akan sering merepotkan",Bab 2
Ungkapan,こちらこそよろしくおねがいします,こちらこそよろしくお願いします,"Iya, sama-sama",Bab 2
Kata Benda,ここ,ここ,Di sini,Bab 3
Kata Benda,そこ,そこ,Di situ,Bab 3
Kata Benda,あそこ,あそこ,Di sana,Bab 3
Kata Benda,どこ,どこ,Di mana,Bab 3
Kata Benda,こちら,こちら,Sebelah sini,Bab 3
Kata Benda,そちら,そちら,Sebelah situ,Bab 3
Kata Benda,あちら,あちら,Sebelah sana,Bab 3
Kata Benda,どちら,どちら,Sebelah mana,Bab 3
Kata Benda,きょうしつ,教室,Ruang Kelas,Bab 3
Kata Benda,しょくどう,食堂,Ruang Makan / Kantin,Bab 3
Kata Benda,じむしょ,事務所,Kantor,Bab 3
Kata Benda,かいぎしつ,会議室,Ruang Rapat,Bab 3
Kata Benda,うけつけ,受付,Meja Informasi / Resepsionis,Bab 3
Kata Benda,ロビー,ロビー,Lobby / Ruang Tunggu,Bab 3
Kata Benda,へや,部屋,Kamar,Bab 3
Kata Benda,トイレ,トイレ,Toilet / WC,Bab 3
Kata Benda,かいだん,階段,Tangga,Bab 3
Kata Benda,エレベーター,エレベーター,Lift,Bab 3
Kata Benda,エスカレーター,エスカレーター,Eskalator,Bab 3
Kata Benda,じどうはんばいき,自動販売機,Vending Machine / Mesin Jual Otomatis,Bab 3
Kata Benda,でんわ,電話,Telepon,Bab 3
Kata Benda,おくに,お国,Negara,Bab 3
Kata Benda,かいしゃ,会社,Perusahaan,Bab 3
Kata Benda,うち,うち,Rumah,Bab 3
Kata Benda,くつ,靴,Sepatu,Bab 3
Kata Benda,ネクタイ,ネクタイ,Dasi,Bab 3
Kata Benda,ワイン,ワイン,Minuman Wine,Bab 3
Kata Benda,うりば,売り場,Tempat Penjualan,Bab 3
Kata Benda,ちか,地下,Bawah Tanah / Basement,Bab 3
Kata Benda,〜かい（〜がい）,〜階,Lantai ... / Tingkat ...,Bab 3
Kata Benda,なんがい,何階,Lantai Berapa,Bab 3
Kata Benda,〜えん,〜円,... Yen,Bab 3
Kata Benda,いくら,いくら,Berapa (harga),Bab 3
Kata Benda,ひゃく,百,Ratus,Bab 3
Kata Benda,せん,千,Ribu,Bab 3
Kata Benda,まん,万,Puluh Ribu,Bab 3
Ungkapan,すみません,すみません,Maaf / Permisi,Bab 3
Ungkapan,どうも,どうも,Terima Kasih,Bab 3
Ungkapan,いらっしゃいませ,いらっしゃいませ,Selamat Datang / Bisa saya bantu?,Bab 3
Ungkapan,〜をみせてください,〜を見せてください,Tolong perlihatkan,Bab 3
Ungkapan,じゃ,じゃ,Baiklah / Kalau begitu,Bab 3
Ungkapan,〜をください,〜をください,Tolong berikan / Minta ...,Bab 3
Kata Benda,イタリア,イタリア,Italia,Bab 3
Kata Benda,スイス,スイス,Swiss,Bab 3
Kata Benda,フランス,フランス,Perancis,Bab 3
Kata Benda,ジャカルタ,ジャカルタ,Jakarta,Bab 3
Kata Benda,バンコク,バンコク,Bangkok,Bab 3
Kata Benda,ベルリン,ベルリン,Berlin,Bab 3
Kata Benda,しんおおさか,新大阪,Stasiun Shin-Osaka,Bab 3
Kata Kerja,おきます,起きます,Bangun,Bab 4
Kata Kerja,ねます,寝ます,Tidur,Bab 4
Kata Kerja,はたらきます,働きます,Bekerja,Bab 4
Kata Kerja,やすみます,休みます,Beristirahat / Libur,Bab 4
Kata Kerja,べんきょうします,勉強します,Belajar,Bab 4
Kata Kerja,おわります,終わります,Selesai,Bab 4
Kata Benda,デパート,デパート,Department Store / Toserba,Bab 4
Kata Benda,ぎんこう,銀行,Bank,Bab 4
Kata Benda,ゆうびんきょく,郵便局,Kantor Pos,Bab 4
Kata Benda,としょかん,図書館,Perpustakaan,Bab 4
Kata Benda,びじゅつかん,美術館,Gedung Kesenian / Museum Seni,Bab 4
Kata Benda,いま,今,Sekarang,Bab 4
Kata Benda,〜じ,〜時,Jam ... / Pukul ...,Bab 4
Kata Benda,〜ふん（〜ぷん）,〜分,... Menit,Bab 4
Kata Benda,はん,半,Setengah,Bab 4
Kata Benda,なんじ,何時,Jam Berapa,Bab 4
Kata Benda,なんぷん,何分,Berapa Menit,Bab 4
Kata Benda,ごぜん,午前,Pagi / AM (sebelum jam 12),Bab 4
Kata Benda,ごご,午後,Siang-Malam / PM (setelah jam 12),Bab 4
Kata Benda,あさ,朝,Pagi,Bab 4
Kata Benda,ひる,昼,Siang,Bab 4
Kata Benda,ばん（よる）,晩（夜）,Malam,Bab 4
Kata Benda,おととい,おととい,Dua hari yang lalu,Bab 4
Kata Benda,きのう,昨日,Kemarin,Bab 4
Kata Benda,きょう,今日,Hari ini,Bab 4
Kata Benda,あした,明日,Besok,Bab 4
Kata Benda,あさって,明後日,Lusa,Bab 4
Kata Benda,けさ,今朝,Tadi Pagi,Bab 4
Kata Benda,こんばん,今晩,Malam Ini / Nanti Malam,Bab 4
Kata Benda,やすみ,休み,Istirahat / Cuti / Libur,Bab 4
Kata Benda,ひるやすみ,昼休み,Istirahat Siang,Bab 4
Kata Benda,しけん,試験,Ujian,Bab 4
Kata Benda,かいぎ,会議,Rapat,Bab 4
Kata Benda,えいが,映画,Film,Bab 4
Kata Benda,まいあさ,毎朝,Setiap Pagi,Bab 4
Kata Benda,まいばん,毎晩,Setiap Malam,Bab 4
Kata Benda,まいにち,毎日,Setiap Hari,Bab 4
Kata Benda,げつようび,月曜日,Hari Senin,Bab 4
Kata Benda,かようび,火曜日,Hari Selasa,Bab 4
Kata Benda,すいようび,水曜日,Hari Rabu,Bab 4
Kata Benda,もくようび,木曜日,Hari Kamis,Bab 4
Kata Benda,きんようび,金曜日,Hari Jumat,Bab 4
Kata Benda,どようび,土曜日,Hari Sabtu,Bab 4
Kata Benda,にちようび,日曜日,Hari Minggu,Bab 4
Kata Benda,なんようび,何曜日,Hari Apa,Bab 4
Kata Benda,〜から,〜から,Dari ...,Bab 4
Kata Benda,〜まで,〜まで,Sampai ...,Bab 4
Kata Benda,〜と〜,〜と〜,... dan ...,Bab 4
Kata Benda,ばんごう,番号,Nomor,Bab 4
Kata Benda,なんばん,何番,Nomor Berapa,Bab 4
Kata Benda,ニューヨーク,ニューヨーク,New York,Bab 4
Kata Benda,ペキン,北京,Beijing,Bab 4
Kata Benda,ロサンゼルス,ロサンゼルス,Los Angeles,Bab 4
Kata Benda,ロンドン,ロンドン,London,Bab 4
Ungkapan,たいへんですね,大変ですね,"Wah, berat ya (ungkapan simpati)",Bab 4
Kata Kerja,いきます,行きます,Pergi,Bab 5
Kata Kerja,きます,来ます,Datang,Bab 5
Kata Kerja,かえります,帰ります,Pulang,Bab 5
Kata Benda,がっこう,学校,Sekolah,Bab 5
Kata Benda,スーパー,スーパー,Supermarket / Pasar Swalayan,Bab 5
Kata Benda,えき,駅,Stasiun,Bab 5
Kata Benda,ひこうき,飛行機,Pesawat,Bab 5
Kata Benda,ふね,船,Kapal Laut,Bab 5
Kata Benda,でんしゃ,電車,Kereta Rel Listrik,Bab 5
Kata Benda,ちかてつ,地下鉄,Kereta Bawah Tanah,Bab 5
Kata Benda,しんかんせん,新幹線,Kereta Cepat Shinkansen,Bab 5
Kata Benda,バス,バス,Bus,Bab 5
Kata Benda,タクシー,タクシー,Taksi,Bab 5
Kata Benda,じてんしゃ,自転車,Sepeda,Bab 5
Kata Benda,あるいて,歩いて,Dengan Berjalan Kaki,Bab 5
Kata Benda,ひと,人,Orang,Bab 5
Kata Benda,ともだち,友達,Teman,Bab 5
Kata Benda,かれ,彼,Dia (laki-laki),Bab 5
Kata Benda,かのじょ,彼女,Dia (perempuan),Bab 5
Kata Benda,かぞく,家族,Keluarga,Bab 5
Kata Benda,ひとりで,一人で,Sendirian,Bab 5
Kata Benda,せんしゅう,先週,Minggu Lalu,Bab 5
Kata Benda,こんしゅう,今週,Minggu Ini,Bab 5
Kata Benda,らいしゅう,来週,Minggu Depan,Bab 5
Kata Benda,せんげつ,先月,Bulan Lalu,Bab 5
Kata Benda,こんげつ,今月,Bulan Ini,Bab 5
Kata Benda,らいげつ,来月,Bulan Depan,Bab 5
Kata Benda,きょねん,去年,Tahun Lalu,Bab 5
Kata Benda,ことし,今年,Tahun Ini,Bab 5
Kata Benda,らいねん,来年,Tahun Depan,Bab 5
Kata Benda,〜ねん,〜年,Tahun ...,Bab 5
Kata Benda,なんねん,何年,Tahun Berapa,Bab 5
Kata Benda,〜がつ,〜月,Bulan ...,Bab 5
Kata Benda,なんがつ,何月,Bulan Apa,Bab 5
Kata Benda,ついたち,一日,Tanggal 1,Bab 5
Kata Benda,ふつか,二日,Tanggal 2 / Dua hari,Bab 5
Kata Benda,みっか,三日,Tanggal 3 / Tiga hari,Bab 5
Kata Benda,よっか,四日,Tanggal 4 / Empat hari,Bab 5
Kata Benda,いつか,五日,Tanggal 5 / Lima hari,Bab 5
Kata Benda,むいか,六日,Tanggal 6 / Enam hari,Bab 5
Kata Benda,なのか,七日,Tanggal 7 / Tujuh hari,Bab 5
Kata Benda,ようか,八日,Tanggal 8 / Delapan hari,Bab 5
Kata Benda,ここのか,九日,Tanggal 9 / Sembilan hari,Bab 5
Kata Benda,とおか,十日,Tanggal 10 / Sepuluh hari,Bab 5
Kata Benda,じゅうよっか,十四日,Tanggal 14 / Empat belas hari,Bab 5
Kata Benda,はつか,二十日,Tanggal 20 / Dua puluh hari,Bab 5
Kata Benda,にじゅうよっか,二十四日,Tanggal 24 / Dua puluh empat hari,Bab 5
Kata Benda,〜にち,〜日,Hari ... / Tanggal ...,Bab 5
Kata Benda,なんにち,何日,Tanggal Berapa / Berapa Hari,Bab 5
Kata Benda,いつ,いつ,Kapan,Bab 5
Kata Benda,たんじょうび,誕生日,Hari Ulang Tahun,Bab 5
Kata Benda,〜ばんせん,〜番線,Peron Nomor ...,Bab 5
Kata Benda,つぎの,次の,Yang Berikutnya,Bab 5
Kata Benda,ふつう,普通,Biasa (kereta),Bab 5
Kata Benda,きゅうこう,急行,Ekspres (kereta),Bab 5
Kata Benda,とっきゅう,特急,Super Ekspres (kereta),Bab 5
Ungkapan,そうですね,そうですね,"Ya, betul / Ya, begitulah",Bab 5
Ungkapan,[どうも]ありがとうございました,[どうも]ありがとうございました,Terima kasih [banyak],Bab 5
Ungkapan,どういたしまして,どういたしまして,Sama-sama,Bab 5
Kata Kerja,たべます,食べます,Makan,Bab 6
Kata Kerja,のみます,飲みます,Minum,Bab 6
Kata Kerja,すいます,吸います,Merokok / Menghisap (rokok),Bab 6
Kata Kerja,みます,見ます,Melihat,Bab 6
Kata Kerja,ききます,聞きます,Mendengar,Bab 6
Kata Kerja,よみます,読みます,Membaca,Bab 6
Kata Kerja,かきます,書きます,"Menulis, menggambar",Bab 6
Kata Kerja,かいます,買います,Membeli,Bab 6
Kata Kerja,とります,撮ります,Mengambil (foto),Bab 6
Kata Kerja,します,します,"Mengerjakan, melakukan, berbuat",Bab 6
Kata Kerja,あいます,会います,Bertemu,Bab 6
Kata Benda,ごはん,ご飯,Nasi,Bab 6
Kata Benda,あさごはん,朝ご飯,Sarapan,Bab 6
Kata Benda,ひるごはん,昼ご飯,Makan Siang,Bab 6
Kata Benda,ばんごはん,晩ご飯,Makan Malam,Bab 6
Kata Benda,パン,パン,Roti,Bab 6
Kata Benda,たまご,卵,Telur,Bab 6
Kata Benda,にく,肉,Daging,Bab 6
Kata Benda,さかな,魚,Ikan,Bab 6
Kata Benda,やさい,野菜,Sayur,Bab 6
Kata Benda,くだもの,果物,Buah,Bab 6
Kata Benda,みず,水,Air,Bab 6
Kata Benda,おちゃ,お茶,Teh Hijau / Teh Jepang,Bab 6
Kata Benda,こうちゃ,紅茶,Teh Hitam,Bab 6
Kata Benda,ぎゅうにゅう,牛乳,Susu,Bab 6
Kata Benda,ジュース,ジュース,Jus / Sari Buah,Bab 6
Kata Benda,ビール,ビール,Bir,Bab 6
Kata Benda,[お]さけ,[お]酒,Minuman beralkohol / Minuman keras,Bab 6
Kata Benda,たばこ,たばこ,Rokok,Bab 6
Kata Benda,てがみ,手紙,Surat,Bab 6
Kata Benda,レポート,レポート,Laporan,Bab 6
Kata Benda,しゃしん,写真,Foto,Bab 6
Kata Benda,ビデオ,ビデオ,Video,Bab 6
Kata Benda,みせ,店,Toko,Bab 6
Kata Benda,にわ,庭,Halaman,Bab 6
Kata Benda,しゅくだい,宿題,Pekerjaan Rumah / PR,Bab 6
Kata Benda,テニス,テニス,Tenis,Bab 6
Kata Benda,サッカー,サッカー,Sepak Bola,Bab 6
Kata Benda,[お]はなみ,[お]花見,Kegiatan melihat dan menikmati bunga Sakura,Bab 6
Kata Benda,なに,何,Apa,Bab 6
Kata Benda,いっしょに,一緒に,Bersama-sama,Bab 6
Kata Benda,ちょっと,ちょっと,"Sebentar, sedikit",Bab 6
Kata Benda,いつも,いつも,Selalu,Bab 6
Kata Benda,ときどき,時々,Kadang-kadang,Bab 6
Kata Benda,それから,それから,"Setelah itu, kemudian",Bab 6
Kata Benda,ええ,ええ,Iya,Bab 6
Kata Benda,いいですね,いいですね,Bagus ya / Baik ya,Bab 6
Kata Benda,なんですか,何ですか,Apa?,Bab 6
Kata Benda,じゃ、また,じゃ、また,"OK, sampai jumpa",Bab 6
Kata Benda,メキシコ,メキシコ,Meksiko,Bab 6
Kata Kerja,きります,切ります,Memotong,Bab 7
Kata Kerja,おくります,送ります,Mengirim,Bab 7
Kata Kerja,あげます,あげます,Memberikan,Bab 7
Kata Kerja,もらいます,もらいます,"Mendapatkan, menerima",Bab 7
Kata Kerja,かします,貸します,"Meminjamkan, menyewakan",Bab 7
Kata Kerja,かります,借ります,"Meminjam, menyewa",Bab 7
Kata Kerja,おしえます,教えます,Mengajar,Bab 7
Kata Kerja,ならいます,習います,Belajar (dari seseorang),Bab 7
Kata Kerja,[でんわを〜]かけます,[電話を〜]かけます,Menelpon,Bab 7
Kata Benda,はし,箸,Sumpit,Bab 7
Kata Benda,スプーン,スプーン,Sendok,Bab 7
Kata Benda,ナイフ,ナイフ,Pisau,Bab 7
Kata Benda,フォーク,フォーク,Garpu,Bab 7
Kata Benda,はさみ,はさみ,Gunting,Bab 7
Kata Benda,パソコン,パソコン,"Komputer PC, laptop",Bab 7
Kata Benda,ケータイ,ケータイ,Handphone,Bab 7
Kata Benda,メール,メール,Email,Bab 7
Kata Benda,ねんがじょう,年賀状,Kartu Tahun Baru,Bab 7
Kata Benda,パンチ,パンチ,Pelubang Kertas,Bab 7
